;tmdb_id;imdb_rating;imdb_votes
254;785534;6.6;14,096
255;538362;;
256;106646;8.2;1,683,543
258;9277;8.3;289,424
257;823754;8.6;56,936
259;204;8.1;69,086
260;43949;7.7;102,007
261;147;8.0;130,340
263;279;8.4;443,510
262;638507;7.3;6,508
264;838240;7.6;17,944
267;8422;8.2;23,038
270;938;8.2;287,126
271;307;8.0;29,951
272;1244492;7.8;11,653
275;641;8.3;935,942
273;110416;8.0;65,736
274;55960;;
276;673;7.9;727,285
278;28178;8.1;325,549
279;515001;7.9;467,132
280;14;8.3;1,247,771
281;400928;7.6;151,452
282;3175;8.1;192,864
283;1084736;7.6;34,154
285;359724;8.1;522,355
334;862;8.3;1,118,442
344;329;8.2;1,115,662
284;264644;8.1;467,294
333;76;8.1;358,305
266;521;8.2;197,678
301;678512;7.6;127,558
304;339877;7.8;64,902
286;568160;7.5;62,045
252;26022;7.9;118,527
295;414419;;
308;780;8.1;64,865
339;237791;7.9;28,458
287;11658;8.0;41,540
328;19542;8.1;41,252
335;1059;8.0;43,933
302;28422;;
265;20530;8.2;19,919
268;610461;5.1;381
348;48035;8.2;17,927
269;347688;6.5;1,934
277;962232;6.6;2,535
342;160885;;
291;906126;7.8;161,732
289;947;8.3;327,088
288;526702;6.4;4,582
292;20453;8.4;456,636
290;1000492;7.6;3,731
293;15;8.3;480,096
294;449176;7.5;130,092
296;524;8.2;592,264
298;205596;8.0;852,850
297;337404;7.3;281,287
300;11778;8.1;374,425
299;140420;8.2;35,949
303;930094;6.9;56,907
305;530915;8.2;725,123
307;13223;8.1;834,520
306;14696;8.1;26,742
310;595;8.3;343,192
309;25376;8.2;229,994
311;455661;7.5;4,588
313;19426;8.1;52,765
312;429210;7.9;6,088
316;213;8.3;357,260
314;1000837;;
315;678580;;
317;7508;8.3;217,612
320;962;8.1;123,629
319;1396;7.9;53,556
321;895;8.0;58,379
318;41050;7.9;24,773
322;640;8.1;1,159,288
323;424694;7.9;618,782
324;2517;8.0;33,474
325;1050035;7.8;34,072
326;51822;N/A;N/A
327;10515;8.0;190,489
330;11104;7.9;103,152
329;12761;8.1;39,416
331;24;8.2;1,246,440
332;574074;8.0;7,322
336;38286;7.7;10,439
337;627;8.1;748,865
338;14160;8.3;1,166,741
341;70;8.1;745,543
340;12104;8.0;87,803
343;18438;8.0;20,162
345;745;8.2;1,096,685
346;679;8.4;808,148
347;81;8.0;188,946
349;3090;8.2;135,657
350;447365;7.9;424,864
352;315465;7.6;27,941
351;626332;6.7;18,565
353;10997;8.1;34,245
357;6977;8.2;1,120,666
356;37797;7.8;76,913
355;158445;8.1;24,730
358;634649;8.2;939,737
360;5925;8.2;267,613
361;197;8.3;1,116,147
364;149;8.0;211,413
362;20803;8.2;19,477
365;1580;7.9;158,674
370;961;8.1;101,287
367;28978;8.1;36,711
369;10404;8.1;36,007
366;29264;8.0;36,516
371;78;8.1;853,389
374;76203;8.1;763,954
376;242828;7.6;50,411
377;296096;7.4;310,275
379;8290;7.9;21,291
381;1578;8.1;390,616
382;11010;7.8;39,731
383;916224;7.6;50,293
385;9323;7.9;164,673
386;234;8.0;73,341
384;49964;8.1;19,908
388;85;8.4;1,071,698
389;1646;7.6;88,873
391;949;8.3;756,740
390;776503;8.0;178,235
392;152532;7.9;532,298
394;1092;8.1;187,102
393;3777;8.0;57,387
395;122906;7.8;412,143
398;829;8.1;364,484
396;13398;7.8;50,065
397;10238;;
401;827;8.1;71,134
403;194;8.3;814,883
404;110;8.1;112,875
402;775;8.1;57,320
406;150540;8.1;862,834
405;488623;7.4;53,913
408;10242;8.0;63,551
411;33;8.2;451,680
410;20271;7.9;14,806
413;21334;8.2;84,868
415;28971;8.0;22,864
418;597;7.9;1,334,872
420;7984;8.1;194,543
419;404378;7.3;35,588
421;118340;8.0;1,313,430
423;920394;6.4;4,245
426;671;;
425;610150;7.1;17,149
428;491480;7.6;47,036
430;654;8.1;171,628
429;20722;;
431;313369;8.0;717,993
432;1892;8.3;1,160,705
417;10674;7.7;330,926
473;316029;7.5;330,699
500;275;8.1;753,704
450;14836;7.8;283,568
380;615457;7.4;348,237
501;235;8.1;462,434
354;10386;8.1;244,452
375;770;8.2;346,019
482;265195;8.1;225,049
427;503314;7.7;34,412
461;665;8.1;263,398
474;804;8.0;151,666
378;142061;8.4;47,412
416;7857;7.8;49,685
422;405;8.0;68,276
445;360814;8.3;220,511
470;17295;8.1;69,287
449;455714;7.6;24,556
463;833;8.2;28,955
497;25364;8.1;40,295
407;15383;8.1;27,228
399;726684;;
359;11712;8.0;42,734
484;530254;;
443;378108;;
363;9764;8.2;35,025
448;25538;8.1;30,333
368;15244;8.2;28,822
387;426618;6.6;5,890
452;615453;7.4;13,566
444;29455;8.0;27,834
446;5801;8.2;39,591
475;47796;7.8;10,709
479;573164;;
372;30017;8.2;24,478
412;38360;8.3;20,490
469;354857;7.4;6,502
400;51482;;
424;740937;6.8;1,545
434;774531;7.5;16,334
409;489412;8.2;1,234
373;6715;7.7;11,258
503;1162;8.1;21,082
493;45752;7.3;2,665
414;761898;;
433;667520;6.7;15,988
438;944401;6.8;17,914
437;752;7.6;420
435;505262;7.3;13,682
436;10728;8.1;17,097
441;334533;7.8;242,871
440;482321;7.1;43,079
439;554596;;
442;458302;7.1;3,112
447;223;8.1;151,018
451;1402;8.0;589,985
453;210577;8.1;1,120,059
454;11036;7.8;653,502
455;2011;8.0;102,680
456;550205;7.2;36,169
458;60243;8.3;269,217
457;582927;7.3;9,619
459;23160;;
460;961323;7.5;55,377
462;501929;7.6;132,243
464;180147;7.3;11,013
466;183011;8.1;46,318
465;698948;7.8;72,878
467;52629;;
468;11293;8.1;54,159
472;662;8.2;37,834
471;94047;7.6;12,933
477;393;8.0;830,801
476;1607;7.8;169,298
478;16;7.9;119,671
480;1214484;7.0;6,274
481;3034;8.0;175,163
483;24238;8.1;195,504
485;369557;7.9;103,248
486;31411;8.0;13,471
487;3112;8.0;102,630
488;1081676;7.5;11,606
489;331482;7.8;265,900
491;381341;7.7;74,590
492;32085;8.3;24,647
490;548544;7.7;10,133
495;3083;8.1;124,502
494;522212;7.6;80,319
496;613;8.2;387,266
498;777;8.1;39,993
499;453;8.2;1,019,484
502;505192;7.9;89,783
504;399174;7.8;199,660
506;152601;8.0;693,732
510;89;8.2;837,844
507;714888;7.6;33,894
508;11830;7.9;24,523
511;968;8.0;279,441
512;522402;6.9;105,096
513;16804;8.0;55,909
517;585;8.1;1,026,193
515;546554;7.9;814,026
516;266856;7.7;496,044
518;379170;;
521;59440;8.1;511,822
522;581;8.0;297,666
519;581528;7.0;26,494
520;323272;6.5;16,846
523;430424;7.4;11,695
525;10191;8.1;841,318
526;115;8.1;889,936
528;33320;;
530;293299;8.2;24,327
533;631;;
537;391;7.9;242,222
536;6075;7.9;239,534
534;677638;6.8;2,785
535;31442;8.0;41,167
538;435129;7.7;29,181
539;32480;;
542;5924;8.0;140,933
544;198;8.1;46,894
540;24167;7.7;12,830
541;16237;7.0;7,257
545;552532;6.6;3,222
546;303867;8.1;10,674
547;83564;6.2;35
549;2062;8.1;883,425
548;14574;;
552;805;8.0;246,880
551;2440;7.7;36,046
550;445030;7.3;4,828
553;152742;7.8;132,598
554;25606;;
555;47931;;
557;785084;7.6;238,269
558;594634;6.6;1,993
532;698508;6.7;17,602
559;263115;8.1;882,870
561;3870;7.6;27,807
563;10775;8.0;134,131
562;650031;7.3;17,277
565;596;8.1;102,840
564;398924;7.3;6,689
570;52345;7.6;7,287
567;12;8.2;1,157,141
569;314365;8.1;514,090
568;419478;6.6;37,324
573;107;8.2;937,204
572;779047;7.8;7,536
571;1010581;;
576;826;8.1;241,306
575;1280;7.9;59,359
579;31011;7.7;251,598
577;4977;7.7;104,042
582;22;8.1;1,256,997
574;10774;8.1;176,692
580;56231;7.6;4,249
583;1018;7.9;406,481
584;10315;7.9;285,607
586;508943;7.4;206,563
585;554590;5.0;673
589;301;8.0;69,824
588;502;8.0;25,492
591;531;8.3;58,585
594;674;7.7;712,191
593;762;8.2;583,327
592;29845;8.0;31,141
596;393559;7.8;30,271
595;632322;6.3;6,605
531;9479;7.9;394,577
524;527774;7.3;179,360
560;200727;7.1;162,255
505;438695;7.3;94,771
556;16859;7.8;173,716
578;80;8.1;301,950
597;11621;7.7;108,102
623;149870;7.8;104,075
640;262;7.8;123,002
667;86837;7.9;107,129
654;144;7.9;80,436
652;169813;7.9;93,780
543;3078;8.1;116,674
614;11697;8.1;84,587
598;113;8.0;88,065
687;24480;8.1;24,151
509;93;8.0;74,147
628;359156;7.1;5,203
650;428493;7.6;37,937
603;22843;7.9;25,897
684;113833;7.9;38,485
662;18079;7.9;58,431
600;29458;7.5;6,631
566;11953;;
514;11656;8.0;32,583
634;1675;8.0;25,226
679;10227;7.8;26,768
637;934;8.1;37,695
619;2721;8.1;32,517
529;1394;;
647;11602;7.9;28,042
527;185789;8.2;10,377
590;799766;7.6;25,715
581;11049;7.8;16,815
675;28162;8.0;26,640
627;31056;8.1;26,849
616;367412;7.8;7,164
630;15859;8.1;26,168
587;58129;8.0;14,785
639;5000;8.0;13,419
656;946;7.9;14,139
674;51533;7.3;13,901
599;579245;7.4;11,752
604;10193;8.3;929,348
606;562;8.2;987,460
605;593;7.9;100,991
602;335578;7.8;46,811
601;760774;7.5;32,415
607;5915;8.1;673,771
609;84892;7.9;570,307
610;2118;8.2;640,683
608;901563;7.8;40,916
612;49797;7.8;156,241
611;937746;7.6;15,832
613;22683;7.5;16,949
615;136;7.8;52,525
618;9475;8.0;350,499
617;523781;7.2;14,340
620;887;8.1;72,322
626;1366;8.1;650,875
622;277216;7.8;226,196
621;348892;8.1;104,061
624;33602;8.2;34,307
625;12496;8.1;26,098
629;49026;8.4;1,910,617
631;13042;8.3;26,319
635;142;7.7;399,825
632;71157;7.3;15,727
633;5991;8.0;15,504
636;438631;;
638;14069;7.7;73,178
641;11005;7.8;168,896
642;9421;;
643;585511;6.4;32,796
645;553;8.0;163,577
644;5961;8.1;68,952
648;6844;7.9;79,995
646;715931;6.3;29,581
649;141;8.0;881,407
653;165;7.8;597,739
651;423612;7.7;26,792
